行号,范围,模块,分类,子分类,来源文件,XML路径,记录标签,记录ID,字段,字符串ID,英文原文
12318,原版,Native,角色人物,mpcharacters.xml,Native/ModuleData/mpcharacters.xml,/MPCharacters[1]/NPCCharacter[2],NPCCharacter,dummy_no_armor,attr:name,,Min Armor (0)
12319,原版,Native,角色人物,mpcharacters.xml,Native/ModuleData/mpcharacters.xml,/MPCharacters[1]/NPCCharacter[3],NPCCharacter,dummy_light_armor,attr:name,,Lower Average Armor (12)
12320,原版,Native,角色人物,mpcharacters.xml,Native/ModuleData/mpcharacters.xml,/MPCharacters[1]/NPCCharacter[4],NPCCharacter,dummy_medium_armor,attr:name,,Higher Average Armor (37)
12321,原版,Native,角色人物,mpcharacters.xml,Native/ModuleData/mpcharacters.xml,/MPCharacters[1]/NPCCharacter[5],NPCCharacter,dummy_heavy_armor,attr:name,,Max Armor (55)
39903,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[101],NPCCharacter,spc_notable_nord_0,attr:name,,Cautious Nord Merchant
39904,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[102],NPCCharacter,spc_notable_nord_0b,attr:name,,Caustic Nord Merchant
39905,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[103],NPCCharacter,spc_notable_nord_1,attr:name,,Curt Nord Merchant
39906,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[104],NPCCharacter,spc_notable_nord_2,attr:name,,Adventurous Nord Merchant
39907,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[105],NPCCharacter,spc_notable_nord_2b,attr:name,,Honest Nord Merchant
39908,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[106],NPCCharacter,spc_notable_nord_3b,attr:name,,Affable Nord Merchant
39909,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[107],NPCCharacter,spc_notable_nord_3,attr:name,,Honorable Female Nord Merchant
39910,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[108],NPCCharacter,spc_notable_nord_3c,attr:name,,Devious Female Nord Merchant
39911,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[109],NPCCharacter,spc_notable_nord_4,attr:name,,Nord Seer
39912,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[110],NPCCharacter,spc_notable_nord_5,attr:name,,Nord Female Mystic
39913,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[111],NPCCharacter,spc_notable_nord_6,attr:name,,Nord Gang Leader
39914,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[112],NPCCharacter,spc_notable_nord_7,attr:name,,Nord Female Gang Leader
39915,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[113],NPCCharacter,spc_notable_nord_8,attr:name,,Nord Artisan
39916,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[114],NPCCharacter,spc_notable_nord_9,attr:name,,Nord Land Captain Gruff Notable
39917,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[115],NPCCharacter,spc_notable_nord_10,attr:name,,Nord Land Captain Helpful Notable
39918,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[116],NPCCharacter,spc_nord_headman_1,attr:name,,Nord Rebellious Headman
39919,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[117],NPCCharacter,spc_nord_headman_2,attr:name,,Nord Conservative Headman
39920,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[118],NPCCharacter,spc_nord_headman_3,attr:name,,Nord Devious Headman
39921,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[119],NPCCharacter,tournament_template_nord_one_participant_set_v1,attr:name,,tournament_template_nord_one_participant_set_v1
39922,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[120],NPCCharacter,tournament_template_nord_one_participant_set_v2,attr:name,,tournament_template_nord_one_participant_set_v2
39923,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[121],NPCCharacter,tournament_template_nord_one_participant_set_v3,attr:name,,tournament_template_nord_one_participant_set_v3
39924,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[122],NPCCharacter,tournament_template_nord_two_participant_set_v1,attr:name,,tournament_template_nord_two_participant_set_v1
39925,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[123],NPCCharacter,tournament_template_nord_two_participant_set_v2,attr:name,,tournament_template_nord_two_participant_set_v2
39926,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[124],NPCCharacter,tournament_template_nord_two_participant_set_v3,attr:name,,tournament_template_nord_two_participant_set_v3
