英文专名,类型,当前译名,统一音译,使用规则,来源
Golden Wasp,船名,金蜂号,戈尔登瓦斯普号,船名音译，加“号”。,固定规则
Wave-Breaker,称号/船名,破浪,韦夫布雷克,称号或专名音译。,固定规则
Sea Hounds,组织名,海猎犬,西霍恩德团,组织名音译，加“团”。,固定规则
Sea Hounds,组织名,海猎犬,西霍恩德团,组织名音译，加“团”。,固定规则
Sea Hounds,组织名,海猎犬,西霍恩德团,组织名音译，加“团”。,固定规则
Leviathan,船名/专名,利维坦,利维坦,通行音译保留。,固定规则
Nereid,船名/专名,涅瑞伊得,涅瑞伊得,通行音译保留。,固定规则
Djinn-King,船名/称号,巨灵之王,金恩金,专名音译。,固定规则
Lord of the Horns,船名/称号,角之主,洛德奥夫霍恩斯,专名音译。,固定规则
Good King Bonneric,船名/称号,贤王博内里克,古德金博内里克,专名音译。,固定规则
Queen Tara,船名/称号,塔拉女王,昆塔拉,专名音译。,固定规则
Volbjorn the Hungry,人物称号,饿狼沃尔比约恩,沃尔比约恩·亨格里,人物称号音译。,固定规则
Halthdar the Golden,人物称号,金王哈尔斯达尔,哈尔斯达尔·戈尔登,人物称号音译。,固定规则
Hull,舰船航海,船壳,哈尔,AI音译，保留文化专名。,术语表候选
Hunters,舰船航海,猎手,亨特斯,AI音译，保留文化专名。,术语表候选
Lady,舰船航海,贵妇,莱迪,AI音译，保留文化专名。,术语表候选
Medium,舰船航海,中型,米迪厄姆,AI音译，保留文化专名。,术语表候选
Sail,舰船航海,船帆,塞尔,AI音译，保留文化专名。,术语表候选
Seaworthiness,舰船航海,适航性,西沃西内斯,AI音译，保留文化专名。,术语表候选
Strong,舰船航海,坚固,斯特朗,AI音译，保留文化专名。,术语表候选
Additional Ammo Bonus,舰船航海,额外弹药,阿迪申纳尔·阿莫·伯纳斯,AI音译，保留文化专名。,术语表候选
Aft,舰船航海,船尾,阿夫特,AI音译，保留文化专名。,术语表候选
Albacore,舰船航海,长鳍金枪鱼,阿尔巴科尔,AI音译，保留文化专名。,术语表候选
Albatross,舰船航海,信天翁,阿尔巴特罗斯,AI音译，保留文化专名。,术语表候选
Alda,舰船航海,阿尔达,阿尔达,AI音译，保留文化专名。,术语表候选
Ale-Cask,舰船航海,酒桶,埃尔-卡斯克,AI音译，保留文化专名。,术语表候选
Alerion-Bird,舰船航海,阿莱里翁鸟,阿莱里翁-伯德,AI音译，保留文化专名。,术语表候选
Ally Defeated,舰船航海,盟友败退,阿利·迪菲蒂德,AI音译，保留文化专名。,术语表候选
Already repaired,舰船航海,已修复,奥尔德雷·里佩尔德,AI音译，保留文化专名。,术语表候选
Amnesties for Pirates,舰船航海,海盗赦令,阿姆内斯蒂斯·福尔·派雷茨,AI音译，保留文化专名。,术语表候选
Angel,舰船航海,天使,安杰尔,AI音译，保留文化专名。,术语表候选
Angranfjord,舰船航海,安格兰峡湾,安格兰菲尤尔德,AI音译，保留文化专名。,术语表候选
Anqa of the Sunset,舰船航海,落日安卡,安卡·奥夫·德·桑塞特,AI音译，保留文化专名。,术语表候选
Antelope,舰船航海,羚羊,安特洛普,AI音译，保留文化专名。,术语表候选
Approach the meeting zone,舰船航海,接近会合区,阿普罗奇·德·米廷·佐恩,AI音译，保留文化专名。,术语表候选
