词条ID,分类列表,英文原文,润色前,润色后,命中原因,来源文件示例
T000067,角色人物,"Were Halthdar the Golden a petty chieftain or jarl, he would no doubt be beloved of all the warriors who followed him into battle and sat at his feast-table afterwards, to be showered with praise and rings. But he is a king, in a land that is still unhappy to be a kingdom. He is blamed by his jarls for the sins of his father, Volbjorn the Hungry, who created the Nordvyg with blood and trickery, and many long to return to the old days when they answered to no one.",若哈尔斯达尔·戈尔登仅是小酋长或雅尔，他无疑会深受追随他征战、赴宴并获赠赞美与指环的勇士们爱戴。但他是科农格，统治着一片仍不甘为王国之地。雅尔们因他父亲沃尔比约恩·亨格里的罪孽而责怪他——其父以鲜血与诡计创建诺德维格。许多人渴望回归旧日，那时他们无需向任何人臣服。,如果哈尔斯达尔·戈尔登只是个小酋长或雅尔，他无疑会深受追随他征战、赴宴并获赠赞美与指环的勇士们爱戴。但他是个科农格，统治着一片仍不甘为王国的地方。雅尔们因他父亲沃尔比约恩·亨格里的罪孽而责怪他——他父亲以鲜血与诡计创建了诺德维格。许多人渴望回到旧日，那时他们无需向任何人臣服。,翻译腔命中：之地、若,NavalDLC/ModuleData/Languages/std_heroes_xml.xml
T000068,角色人物,"Grykka Half-an-Ear came from a poor offshoot of the Kjoldings, and was little thought-of until the night that his uncle the jarl and his followers were trapped in their mead-hall by unknown warriors and the roof set alight. His hasty confirmation as jarl by the old king Volbjorn, left little doubt that he was the culprit, and had been suborned by the ruthless unifier of the Nordvyg. Despite this, or perhaps because of it, he is viewed with suspicion by Volbjorn's son and heir Halthdar.",半耳格里卡出身克约尔丁家族一支贫寒旁系，本不受重视，直至一夜，其叔父雅尔及随从被不明武士困于蜜酒厅，屋顶遭纵火。老科农格沃尔比约恩·亨格里匆忙确认他为雅尔，几乎无疑他就是元凶，且已被诺德维格冷酷的统一者收买。尽管如此——或许正因如此——沃尔比约恩之子兼继承人哈尔斯达尔对他心存猜疑。,半耳格里卡出身克约尔丁家族一支贫寒旁系，本不受重视，直到一夜，他叔父雅尔及随从被不明武士困于蜜酒厅，屋顶遭纵火。老科农格沃尔比约恩·亨格里匆忙确认他为雅尔，几乎无疑他就是元凶，且已被诺德维格冷酷的统一者收买。尽管如此——或许正因如此——沃尔比约恩的儿子兼继承人哈尔斯达尔对他心存猜疑。,翻译腔命中：之子,NavalDLC/ModuleData/Languages/std_heroes_xml.xml
T000070,角色人物,"Many over the years have styled themselves King of the Nordvyg, but Volbjorn the Hungry is the first for whom it was more than an empty title. As a young man he served the Empire as a mercenary, accumulating a huge horde of gold. With it, he returned home to transform his jarldom into a kingdom. Some who resisted him were defeated in battle, others were bought, and others found out that someone whom they trusted could be bought. It is whispered that, when Volbjorn was on his deathbed, he ordered himself sealed alive inside his barrow with his gold, so that greed and sorcery could transform him, and he could count it every night.",多年来，许多人自封诺德维格科农格，但沃尔比约恩·亨格里是首位使这称号名副其实之人。年轻时，他作为雇佣兵效力帝国，积攒了巨额黄金。带着财富，他返回故土，将他的雅尔领地变为王国。抵抗者或战败，或被收买，或发现所信之人亦可被收买。传言说，沃尔比约恩临终时，命人将他活活封入坟冢，与黄金同葬，以便贪婪与巫术将他转化，使他每夜都能清点财富。,多年来，许多人自封诺德维格科农格，但沃尔比约恩·亨格里是首位让这称号名副其实的人。年轻时，他作为雇佣兵效力帝国，积攒了巨额黄金。带着财富，他返回故土，将他的雅尔领地变为王国。抵抗者或战败，或被收买，或发现所信之人亦可被收买。传言说，沃尔比约恩临终时，命人将他活活封入坟冢，与黄金同葬，好让贪婪与巫术将他转化，使他每夜都能清点财富。,翻译腔命中：之人、以便,NavalDLC/ModuleData/Languages/std_heroes_xml.xml
T000308,角色人物,"When I was a girl, I chose to be a shieldmaiden, and accompanied my brothers on their raids. When I came of age, I was pursued by one of the finest warriors in our valley. All the girls dreamed of marrying him. I agreed to marry him on condition that he never tried to prevent me from going to war, and this pledge he made.",我年少时便选择成为盾女，随兄弟们一同劫掠。成年后，山谷中最优秀的武士之一追求于我。所有姑娘都梦想嫁给他。我同意嫁他，条件是他永不阻止我出征，他立下了这个誓言。,我年少时便选择成为盾女，随兄弟们一同劫掠。成年后，山谷中最优秀的武士之一追求我。所有姑娘都梦想嫁给他。我同意嫁他，条件是他永不阻止我出征，他立下了这个誓言。,翻译腔命中：追求于,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000315,角色人物,"Well, there was a time when I was less wary of strangers, but I've learned since that many of those who approach me in an inn or on the road have unworthy motives. It's a bit of a tale, but I will tell you if you're interested.",嗯，曾经我对陌生人没那么警惕，但后来我学到，许多在客栈或路上接近我的人动机不纯。说来话长，但若你有兴趣，我可以告诉你。,嗯，曾经我对陌生人没那么警惕，但后来我学到，许多在客栈或路上接近我的人动机不纯。说来话长，但如果你有兴趣，我可以告诉你。,翻译腔命中：若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000366,角色人物,"If you do so, I promise to always be in the front rank of your battle line, to never shirk duty even in the face of death.",若你如此做，我发誓永远站在你战线的最前列，即使面对死亡也绝不逃避职责。,如果你这样做，我发誓永远站在你战线的最前列，即使面对死亡也绝不逃避职责。,翻译腔命中：若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000374,角色人物,"I had a bit of a protected upbringing, you see. I am a great-niece of Aldric, lord of Sarghert. My father died in his wars, but I was considered a member of his household, and I was to be married to a horseman in his retinue. Alas, I fell in love with one of the common soldiers. He was high-spirited, handsome - the kind of boy who imagined the evils of this world could never touch him.",你看，我从小受到庇护。我是萨格赫特领主阿尔德里克的侄孙女。我父亲死于他的战争，但我被视为他家族的一员，本应嫁给他随从中的一名骑兵。唉，我却爱上了一个普通士兵。他意气风发、英俊潇洒——是那种以为世间邪恶永远无法触及他的男孩。,你看，我从小受到庇护。我是萨格赫特领主阿尔德里克的侄孙女。我父亲死在他的战争中，但我被视为他家族的一员，本应嫁给他随从中的一名骑兵。唉，我却爱上了一个普通士兵。他意气风发、英俊潇洒——是那种以为世间邪恶永远无法触及他的男孩。,翻译腔命中：于他,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000391,角色人物,"Just be sure you tell your men of the curse upon me, as I would not wish to take anyone else's life, if it can be avoided.",务必告知你的手下我身负诅咒，因为我不愿再夺人性命，若能避免的话。,务必告诉你的手下我身负诅咒，因为我不愿再夺人性命，如果能避免的话。,翻译腔命中：告知、若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000395,角色人物,"I can offer you my knowledge of the ancestries of the lords, chieftains, noyans, and other nobility of Calradia, both civilized and savage. You will find that it may please them if you claim to recognize, on first making their acquaintance, the name of their clan, and whether they are called 'The Boneless,' 'Nestbeard,' 'The Scratcher,' or some other charming sobriquet.",我可以献上我对卡拉迪亚贵族、酋长、诺扬及其他显贵家世的知识，无论文明还是野蛮。你会发现，若你在初次结识时便声称知晓他们家族的名号，以及他们是被称作‘无骨者’、‘巢须’、‘挠痒者’还是其他迷人的绰号，这或许能取悦他们。,我可以献上我对卡拉迪亚贵族、酋长、诺扬及其他显贵家世的知识，无论文明还是野蛮。你会发现，如果你在初次结识时便声称知晓他们家族的名号，以及他们是被称作‘无骨者’、‘巢须’、‘挠痒者’还是其他迷人的绰号，这或许能取悦他们。,翻译腔命中：若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000407,角色人物,"I am Lath, prince of the wastelands, lord of solitude, master of emptiness. If you wish to know my other names, you may ask my kinsmen, the leopard, the hyena and the gazelle.",我是拉斯，荒原王子，孤独之主，空虚之主。若你想知道我别的名字，可以问我的亲族——豹、鬣狗与羚羊。,我是拉斯，荒原王子，孤独之主，空虚之主。如果你想知道我别的名字，可以问我的亲族——豹、鬣狗与羚羊。,翻译腔命中：若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
