行号,范围,模块,分类,子分类,来源文件,XML路径,记录标签,记录ID,字段,字符串ID,英文原文,中文译文,翻译状态
36862,战帆DLC,NavalDLC,角色人物,std_heroes_xml.xml,NavalDLC/ModuleData/Languages/std_heroes_xml.xml,/base[1]/strings[1]/string[1],string,82aSnTOv,attr:text,82aSnTOv,"The Orthling led the colonists of Beinland against King Volbjorn during the wars of unification. After their defeat they bowed to the inevitable, and offered their chief's daughter, Asgotha, as bride to the king's younger and far more popular brother Surnir. But the marriage, despite its inauspicious origins, turned out well. Asgotha was a shield maiden, and the couple fought side-by-side in battles, up until the day that Surnir was slain in a skirmish with the Sturgians. The new king Halthdar has confirmed her as jarl of Beinland, but many of her kinsmen chaff under the humiliation of Skylfing rule.",统一战争中，奥斯林率领贝因兰殖民者对抗沃尔比约恩·亨格里科农格。战败后，他们屈服于命运，将酋长的女儿阿斯戈萨献给科农格那位更年轻、更得人心的弟弟苏尔尼尔。然而，这桩始于不祥的婚姻却意外美满。阿斯戈萨本是盾女，夫妻二人并肩作战，直至苏尔尼尔在与斯特吉亚人的一次冲突中阵亡。新科农格哈尔斯达尔确认她为贝因兰女雅尔，但她的许多族人仍因受斯凯尔芬统治之辱而愤懑不平。,已翻译
36863,战帆DLC,NavalDLC,角色人物,std_heroes_xml.xml,NavalDLC/ModuleData/Languages/std_heroes_xml.xml,/base[1]/strings[1]/string[2],string,Bule74H4,attr:text,Bule74H4,"Were Halthdar the Golden a petty chieftain or jarl, he would no doubt be beloved of all the warriors who followed him into battle and sat at his feast-table afterwards, to be showered with praise and rings. But he is a king, in a land that is still unhappy to be a kingdom. He is blamed by his jarls for the sins of his father, Volbjorn the Hungry, who created the Nordvyg with blood and trickery, and many long to return to the old days when they answered to no one.",若哈尔斯达尔·戈尔登仅是小酋长或雅尔，他无疑会深受追随他征战、赴宴并获赠赞美与指环的勇士们爱戴。但他是科农格，统治着一片仍不甘为王国之地。雅尔们因他父亲沃尔比约恩·亨格里的罪孽而责怪他——其父以鲜血与诡计创建诺德维格。许多人渴望回归旧日，那时他们无需向任何人臣服。,已翻译
36864,战帆DLC,NavalDLC,角色人物,std_heroes_xml.xml,NavalDLC/ModuleData/Languages/std_heroes_xml.xml,/base[1]/strings[1]/string[3],string,GPf0avBi,attr:text,GPf0avBi,"Grykka Half-an-Ear came from a poor offshoot of the Kjoldings, and was little thought-of until the night that his uncle the jarl and his followers were trapped in their mead-hall by unknown warriors and the roof set alight. His hasty confirmation as jarl by the old king Volbjorn, left little doubt that he was the culprit, and had been suborned by the ruthless unifier of the Nordvyg. Despite this, or perhaps because of it, he is viewed with suspicion by Volbjorn's son and heir Halthdar.",半耳格里卡出身克约尔丁家族一支贫寒旁系，本不受重视，直至一夜，其叔父雅尔及随从被不明武士困于蜜酒厅，屋顶遭纵火。老科农格沃尔比约恩·亨格里匆忙确认他为雅尔，几乎无疑他就是元凶，且已被诺德维格冷酷的统一者收买。尽管如此——或许正因如此——沃尔比约恩之子兼继承人哈尔斯达尔对他心存猜疑。,已翻译
36865,战帆DLC,NavalDLC,角色人物,std_heroes_xml.xml,NavalDLC/ModuleData/Languages/std_heroes_xml.xml,/base[1]/strings[1]/string[4],string,OAvlqAql,attr:text,OAvlqAql,"Ilrika was the wife of Volbjorn the Hungry, first King of the Nordvyg. She was a caretaker of a woodland shrine, the keeper of secret rituals, and every bit as ambitious as her husband. When Volbjorn died, Ilrika's machinations ensured that her son, Halthdar, had no serious rivals for the throne. When his rule was secure, she soon died - or so the royal household claimed. Others say she returned to the woods, and some claim to see her wandering on moonless nights, ensuring none dare challenge the dynasty.",伊尔丽卡是沃尔比约恩·亨格里之妻，诺德维格首位科农格后。她守护林中圣所，执掌秘仪，野心不亚于丈夫。沃尔比约恩死后，伊尔丽卡施展权谋，确保其子哈尔斯达尔王位无重大对手。待其统治稳固，她便很快去世——至少王室如此宣称。另有人说她回归森林，有人声称在无月之夜见她游荡，确保无人胆敢挑战王朝。,已翻译
36866,战帆DLC,NavalDLC,角色人物,std_heroes_xml.xml,NavalDLC/ModuleData/Languages/std_heroes_xml.xml,/base[1]/strings[1]/string[5],string,wKMRsw16,attr:text,wKMRsw16,"Many over the years have styled themselves King of the Nordvyg, but Volbjorn the Hungry is the first for whom it was more than an empty title. As a young man he served the Empire as a mercenary, accumulating a huge horde of gold. With it, he returned home to transform his jarldom into a kingdom. Some who resisted him were defeated in battle, others were bought, and others found out that someone whom they trusted could be bought. It is whispered that, when Volbjorn was on his deathbed, he ordered himself sealed alive inside his barrow with his gold, so that greed and sorcery could transform him, and he could count it every night.",多年来，许多人自封诺德维格科农格，但沃尔比约恩·亨格里是首位使这称号名副其实之人。年轻时，他作为雇佣兵效力帝国，积攒了巨额黄金。带着财富，他返回故土，将他的雅尔领地变为王国。抵抗者或战败，或被收买，或发现所信之人亦可被收买。传言说，沃尔比约恩临终时，命人将他活活封入坟冢，与黄金同葬，以便贪婪与巫术将他转化，使他每夜都能清点财富。,已翻译
39803,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[1],NPCCharacter,fighter_nord,attr:name,ovmbmg29,Nord Villager,诺德村民,已翻译
39804,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[2],NPCCharacter,nord_youngling,attr:name,BylR8JFS,Nord Youngling,诺德幼狼,已翻译
39805,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[3],NPCCharacter,nord_drengr,attr:name,sXNNaJ7Q,Nord Warrior,诺德战士,已翻译
39806,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[4],NPCCharacter,nord_axe_warrior,attr:name,NuEuEucc,Nord Axe Warrior,诺德斧兵,已翻译
39807,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[5],NPCCharacter,nord_spear_warrior,attr:name,GriAus4K,Nord Spear Warrior,诺德矛战士,已翻译
