术语ID,优先级,术语类型,英文术语,统一中文译名,分类列表,模块列表,出现次数,来源文件示例,备注
G00001,P0,舰船航海,Bow,船首,其他文本；系统文本；舰船航海,Native；NavalDLC,3,Native/ModuleData/mpcosmetics.xml,文化称呼与专名音译修订
G00002,P0,舰船航海,Animal,牲畜,系统文本；舰船航海,Native；NavalDLC,2,NavalDLC/ModuleData/banner_icons.xml,文化称呼与专名音译修订
G00003,P0,舰船航海,Fire Ballista,火焰弩炮,舰船航海,NavalDLC,2,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00004,P0,舰船航海,Hull,哈尔,系统文本；舰船航海,Native；NavalDLC,2,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00005,P0,舰船航海,Hunters,亨特斯,系统文本；舰船航海,NavalDLC；SandBox,2,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00006,P0,舰船航海,Lady,莱迪,系统文本；舰船航海,Native；NavalDLC,2,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00007,P0,舰船航海,Medium,米迪厄姆,系统文本；舰船航海,Native；NavalDLC,2,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00008,P0,舰船航海,Sail,塞尔,系统文本；舰船航海,Native；NavalDLC,2,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00009,P0,舰船航海,Seaworthiness,西沃西内斯,系统文本；舰船航海,Native；NavalDLC,2,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
G00010,P0,舰船航海,Strong,斯特朗,系统文本；舰船航海,NavalDLC；SandBox,2,NavalDLC/ModuleData/Languages/std_NavalDLC_CustomBattle.xml,文化称呼与专名音译修订
G00011,P0,舰船航海,Accuracy Training,精准训练,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00012,P0,舰船航海,Additional Ammo Bonus,阿迪申纳尔·阿莫·伯纳斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
G00013,P0,舰船航海,Aft,阿夫特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00014,P0,舰船航海,Albacore,阿尔巴科尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00015,P0,舰船航海,Albatross,阿尔巴特罗斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00016,P0,舰船航海,Alda,阿尔达,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00017,P0,舰船航海,Ale-Cask,埃尔-卡斯克,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00018,P0,舰船航海,Alerion-Bird,阿莱里翁-伯德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00019,P0,舰船航海,Ally Defeated,阿利·迪菲蒂德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00020,P0,舰船航海,Already repaired,奥尔德雷·里佩尔德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
G00021,P0,舰船航海,Amnesties for Pirates,阿姆内斯蒂斯·福尔·派雷茨,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00022,P0,舰船航海,Angel,安杰尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00023,P0,舰船航海,Angranfjord,安格兰菲尤尔德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00024,P0,舰船航海,Anqa of the Sunset,安卡·奥夫·德·桑塞特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00025,P0,舰船航海,Antelope,安特洛普,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00026,P0,舰船航海,Approach the meeting zone,阿普罗奇·德·米廷·佐恩,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00027,P0,舰船航海,Archangel,阿昌杰尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00028,P0,舰船航海,Ark of the Gal,阿克·奥夫·德·加尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00029,P0,舰船航海,Arrow and Javelin Bins,阿罗·安德·贾弗林·宾斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00030,P0,舰船航海,Arrow Bins,阿罗·宾斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00031,P0,舰船航海,Arrow Brazier,阿罗·布拉齐尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00032,P0,舰船航海,Arrow Crates,阿罗·克雷茨,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00033,P0,舰船航海,Arrow of Urkhun,阿罗·奥夫·乌尔昆,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00034,P0,舰船航海,Arsenals of State,阿森纳尔斯·奥夫·斯泰特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00035,P0,舰船航海,Asaligat,阿萨利加特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00036,P0,舰船航海,Ash Light Oars,阿什·莱特·奥尔斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00037,P0,舰船航海,Askar River,阿斯卡尔·里弗,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00038,P0,舰船航海,Asp,阿斯普,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00039,P0,舰船航海,Aspen Light Oars,阿斯彭·莱特·奥尔斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00040,P0,舰船航海,Assign as Ship,阿赛恩·阿斯·希普,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
